FL_DATE,OP_UNIQUE_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_TIME,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE
2018-10-01,WN,N221WN,802,ABQ,BWI,905,903,-2,1450,1433,225,210,197,1670
2018-10-01,WN,N8329B,3744,ABQ,BWI,1500,1458,-2,2045,2020,225,202,191,1670
2018-10-01,WN,N920WN,1019,ABQ,DAL,1800,1802,2,2045,2032,105,90,80,580
2018-10-01,WN,N480WN,1499,ABQ,DAL,950,947,-3,1235,1223,105,96,81,580
2018-10-01,WN,N227WN,3635,ABQ,DAL,1150,1151,1,1430,1423,100,92,80,580
2018-10-01,WN,N243WN,3998,ABQ,DAL,655,652,-3,940,924,105,92,83,580
2018-10-01,WN,N485WN,5432,ABQ,DAL,1340,1354,14,1625,1631,105,97,81,580
2018-10-01,WN,N229WN,4596,ABQ,DEN,1420,1444,24,1540,1552,80,68,55,349
2018-10-01,WN,N934WN,6013,ABQ,DEN,910,907,-3,1025,1027,75,80,52,349
2018-10-01,WN,N934WN,6015,ABQ,DEN,1735,1742,7,1845,1854,70,72,58,349
2018-10-01,WN,N8615E,2885,ABQ,HOU,1240,1239,-1,1540,1539,120,120,108,759
2018-10-01,WN,N965WN,3939,ABQ,HOU,640,640,0,940,938,120,118,103,759
2018-10-01,WN,N408WN,4025,ABQ,HOU,1555,1610,15,1850,1906,115,116,103,759
2018-10-01,WN,N913WN,1642,ABQ,LAS,1040,1037,-3,1115,1057,95,80,69,486
2018-10-01,WN,N927WN,3271,ABQ,LAS,1615,1614,-1,1645,1646,90,92,75,486
2018-10-01,WN,N732SW,4816,ABQ,LAS,605,601,-4,635,628,90,87,73,486
