,DISTANCE,CRS_ELAPSED_TIME
39,289,80
27,1111,175
42,1610,240
13,759,120
8,349,75
88,581,120
17,486,90
84,1199,195
35,628,110
95,696,130
81,1199,190
0,1670,225
67,554,100
55,214,55
30,328,80
36,289,75
71,447,85
61,577,110
64,577,110
10,759,120
98,696,125
80,547,105
38,289,75
70,447,90
15,486,95
56,214,65
92,153,50
6,580,105
53,813,145
60,946,160
7,349,80
45,717,130
65,577,115
63,577,110
78,547,100
49,323,70
51,813,145
5,580,105
85,594,110
34,628,110
22,1121,155
94,153,55
40,289,75
79,547,105
28,328,80
24,889,145
18,486,85
1,1670,225
86,594,105
11,759,120
99,696,120
21,718,105
19,677,125
32,328,75
2,580,105
52,813,140
75,721,135
73,721,125
97,696,125
77,547,105
54,214,60
46,323,75
66,577,110
26,889,140
58,214,55
25,889,145
16,486,90
74,721,125
48,323,70
82,1199,185
